Variant,Cycle,Period,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
No LAM,69,Cycling,2.2810235165216174e-08,1.440428467177365e-10,2.0005702623286426e-08,4.089766321596644,3.8132373276977005,5.338532258775658,0.278382750930227,0.9519985049922468,4.091620078627928
No LAM,70,Cycling,2.2953373374432718e-08,1.431382092165434e-10,2.000578590123605e-08,4.089512596372703,3.8128315582441887,5.337964181544493,0.27853672224238446,0.9529505073724351,4.091368280486574
No LAM,71,Cycling,2.3095624029579208e-08,1.4225065514648968e-10,2.000586917830365e-08,4.089263262491665,3.812430407823239,5.337402570952262,0.2786902699924201,0.9539149106296545,4.09112067781566
No LAM,72,Cycling,2.323700368541218e-08,1.4137965583297377e-10,2.000595245452933e-08,4.08901807229238,3.8120337340441943,5.336847227660741,0.2788434688288257,0.9548916103643492,4.0908772028730205
No LAM,73,Cycling,2.3377528382262013e-08,1.4052469684983163e-10,2.000603572995242e-08,4.088776964555814,3.8116414060592105,5.336297968482683,0.27899622001195423,0.9558793213819357,4.090637626071165
No LAM,74,Cycling,2.3517213668957005e-08,1.3968528669499228e-10,2.000611900460965e-08,4.088539709214649,3.811253309885024,5.335754633837965,0.27914847596238124,0.9568772016208413,4.090401785847405
No LAM,75,Cycling,2.365607463674408e-08,1.3886096778707644e-10,2.0006202278538277e-08,4.0883061498383375,3.8108693101114985,5.335217034155264,0.27930033434063617,0.9578857368953351,4.090169644452135
No LAM,76,Cycling,2.3794125923527128e-08,1.380512867830459e-10,2.00062855517741e-08,4.088076245279347,3.8104892577168323,5.334684960804793,0.2794517480540346,0.9589037106210156,4.089941005770867
No LAM,77,Cycling,2.393138172885924e-08,1.3725580533211408e-10,2.0006368824351597e-08,4.0878498029019426,3.8101129875744304,5.33415818260481,0.27960264918127553,0.9599298688758466,4.089715636755706
No LAM,78,Cycling,2.4067855848369566e-08,1.3647411951032458e-10,2.000645209630373e-08,4.087626592350036,3.809740384641919,5.333636538501111,0.27975314115245364,0.9609647674122215,4.0894935257943725
