Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K]
14.199999999999998,0.0680616,3.900643781639292,-0.0914883996792382,298.15
14.233333333333333,0.0680616,3.897897303932669,-0.08921967967923822,298.15
14.266666666666664,0.06806159999999999,3.8954056658492813,-0.08695095967923804,298.15
14.3,0.0680616,3.893132748766154,-0.08468223967923758,298.15
14.333333333333332,0.0680616,3.8910461534373493,-0.08241351967923753,298.15
14.366666666666667,0.06806160000000001,3.889117201803331,-0.0801447996792373,298.15
14.399999999999999,0.06806159999999987,3.8873207576896083,-0.07787607967923729,298.15
14.433333333333334,0.0680616,3.8856349371971426,-0.07560735967923744,298.15
14.466666666666665,0.0680616,3.884040800374327,-0.07333863967923746,298.15
14.5,0.0680616,3.882522009925126,-0.07106991967923747,298.15
14.533333333333331,0.0680615999999999,3.8810645256662193,-0.06880119967923765,298.15
14.566666666666666,0.06806159999999983,3.8796563140005067,-0.06653247967923771,298.15
14.6,0.0680616,3.878287081552742,-0.06426375967923795,298.15
14.633333333333333,0.0680616,3.8769480719658116,-0.06199503967923774,298.15
14.666666666666666,0.0680616,3.875631834484105,-0.05972631967923791,298.15
14.7,0.0680616,3.874332065927194,-0.0574575996792376,298.15
14.733333333333333,0.06806159999999999,3.8730434551954076,-0.0551888796792374,298.15
14.766666666666667,0.06806159999999997,3.8717615517450032,-0.052920159679237216,298.15
14.8,0.06806160000000003,3.870482650602425,-0.050651439679237166,298.15
14.833333333333332,0.0680616000000001,3.8692036938490384,-0.048382719679237345,298.15
14.866666666666667,0.06806159999999992,3.867922184854764,-0.046113999679237155,298.15
14.899999999999999,0.0680616,3.866636111920065,-0.04384527967923718,298.15
14.933333333333334,0.0680616,3.8653438902331465,-0.04157655967923716,298.15
14.966666666666665,0.0680616,3.8640442936243997,-0.039307839679237205,298.15
15.0,0.0680616,3.8627364163106557,-0.03703911967923684,298.15
15.033333333333331,0.06806159999999999,3.861419623308694,-0.034770399679236924,298.15
15.066666666666666,0.0680616,3.8600935145983852,-0.032501679679236783,298.15
15.099999999999998,0.0680616,3.8587578920478145,-0.03023295967923679,298.15
15.133333333333333,0.0680616,3.8574127304035746,-0.02796423967923656,298.15
15.166666666666664,0.0680616,3.8560581518261157,-0.025695519679236747,298.15
15.2,0.06806160000000003,3.85469440343059,-0.0234267996792365,298.15
15.23333333333333,0.0680616,3.853321837945694,-0.021158079679236826,298.15
15.266666666666667,0.0680616,3.8519408976307665,-0.018889359679236762,298.15
15.299999999999997,0.06806160000000001,3.8505520944823646,-0.01662063967923681,298.15
15.333333333333334,0.0680616,3.8491560014442383,-0.014351919679236791,298.15
15.366666666666667,0.0680616,3.8477532396995766,-0.012083199679236989,298.15
15.4,0.0680616,3.8463444679512833,-0.009814479679237029,298.15
15.433333333333334,0.06806160000000001,3.8449303734720996,-0.007545759679237075,298.15
15.466666666666667,0.0680616,3.84351166423339,-0.005277039679237159,298.15
15.5,0.0680616,3.842089062032481,-0.0030083196792373267,298.15
15.533333333333331,0.06806160000000001,3.840663296506513,-0.0007395996792372656,298.15
15.566666666666666,0.0680616,3.8392350999343643,0.0015291203207627396,298.15
15.6,0.0680616,3.8378052027390535,0.003797840320762973,298.15
15.633333333333333,0.0680616,3.8363743296116937,0.006066560320762908,298.15
15.666666666666664,0.0680616,3.8349431961889544,0.008335280320762667,298.15
15.7,0.0680616,3.8335125062212,0.01060400032076285,298.15
15.73333333333333,0.0680616,3.8320829491761534,0.012872720320762737,298.15
15.766666666666667,0.0680616,3.8306551982291053,0.015141440320762974,298.15
15.799999999999997,0.0680616,3.8292299085955923,0.017410160320763014,298.15
15.833333333333334,0.06806159999999999,3.8278077161672184,0.019678880320763103,298.15
15.866666666666665,0.0680616,3.8263892364154515,0.021947600320762966,298.15
15.9,0.0680616,3.8249750635319333,0.024216320320763023,298.15
15.933333333333332,0.0680616,3.8235657697771495,0.02648504032076307,298.15
15.966666666666667,0.0680616,3.822161905012274,0.028753760320762996,298.15
15.999999999999998,0.0680616,3.8207639963916553,0.031022480320762883,298.15
16.033333333333335,0.0680616,3.819372548195787,0.033291200320763145,298.15
16.066666666666666,0.06806160000000001,3.817988041786754,0.03555992032076292,298.15
16.1,0.0680616,3.816610933938806,0.037828640320762955,298.15
16.133333333333333,0.0680616,3.81524166221348,0.040097360320762665,298.15
16.166666666666668,0.0680616,3.8138806401532164,0.04236608032076267,298.15
16.2,0.0680616,3.812528258884137,0.04463480032076289,298.15
16.23333333333333,0.0680616,3.8111848877307195,0.04690352032076281,298.15
16.266666666666666,0.06806160000000003,3.8098508746196385,0.04917224032076305,298.15
16.3,0.0680616,3.8085265465246723,0.051440960320763104,298.15
16.333333333333332,0.0680616,3.807212209946136,0.053709680320762856,298.15
16.366666666666664,0.06806160000000004,3.8059081514177784,0.05597840032076248,298.15
16.4,0.06806159999999999,3.8046146380352592,0.05824712032076252,298.15
16.433333333333337,0.06806159999999999,3.803331918099238,0.06051584032076257,298.15
16.466666666666665,0.0680616,3.8020602212964523,0.06278456032076261,298.15
16.499999999999996,0.0680616,3.8007997598096774,0.06505328032076241,298.15
16.533333333333335,0.0680616,3.799550728533637,0.06732200032076255,298.15
16.566666666666663,0.0680616,3.798313305735226,0.06959072032076244,298.15
16.6,0.0680616,3.797087653625098,0.07185944032076272,298.15
16.633333333333333,0.0680616,3.7958739189263664,0.07412816032076254,298.15
16.666666666666668,0.0680616,3.794672233438447,0.07639688032076278,298.15
16.7,0.0680616,3.7934827145943673,0.07866560032076247,298.15
16.733333333333334,0.0680616,3.792305465984692,0.0809343203207623,298.15
16.766666666666666,0.0680616,3.7911405784442533,0.08320304032076198,298.15
16.8,0.0680616,3.789988129163345,0.08547176032076184,298.15
16.833333333333332,0.0680616,3.7888481833632466,0.08774048032076188,298.15
16.866666666666667,0.06806160000000001,3.787720794692382,0.09000920032076198,298.15
16.9,0.0680616,3.7866060055665867,0.09227792032076197,298.15
16.93333333333333,0.0680616,3.785503847642404,0.09454664032076206,298.15
16.966666666666665,0.0680616,3.7844143423081618,0.09681536032076217,298.15
17.0,0.0680616,3.783337501108656,0.09908408032076221,298.15
17.033333333333335,0.0680616,3.7822733261913686,0.1013528003207621,298.15
17.066666666666663,0.0680616,3.7812218107271867,0.10362152032076218,298.15
17.1,0.0680616,3.780182939315745,0.10589024032076241,298.15
17.133333333333333,0.0680616,3.7791566883747847,0.10815896032076265,298.15
17.166666666666668,0.0680616,3.7781430265132556,0.11042768032076228,298.15
