SEI Model,Initial SOC,Days,Voltage Before (V),Voltage After (V),Delta V (V),SEI Thickness (m),Loss of Lithium Inventory (%),SEI rxn rate
reaction limited,0.3,27,3.6970511441869682,3.6969563033279336,9.484085903466166e-05,1.1558152031288905e-08,0.09003636261550696,1e-12
reaction limited,0.3,28,3.6970511441412652,3.696952826965587,9.831717567809761e-05,1.1800814320172551e-08,0.09336785440962103,1e-12
reaction limited,0.3,29,3.697051144073164,3.6969493522831893,0.00010179178997482552,1.2043460460298664e-08,0.09669912452605445,1e-12
reaction limited,0.3,30,3.6970511440306586,3.696945880617057,0.0001052634136016195,1.2286089169844423e-08,0.10003015527848902,1e-12
reaction limited,0.3,31,3.697051143980865,3.696942410678987,0.00010873330187788355,1.2528702188453745e-08,0.10336097069519212,1e-12
reaction limited,0.3,32,3.697051143940053,3.696938943116526,0.00011220082352680905,1.277130031070711e-08,0.10669158155103275,1e-12
reaction limited,0.3,33,3.69705114388266,3.696935478325348,0.00011566555731201689,1.301387985775004e-08,0.11002193751878053,1e-12
reaction limited,0.3,34,3.697051143827327,3.696932016447417,0.0001191273799099335,1.3256443252088909e-08,0.11335207148469806,1e-12
reaction limited,0.3,35,3.6970511437616604,3.6969285628027975,0.00012258095886297227,1.3498989082094187e-08,0.11668196317202728,1e-12
reaction limited,0.3,36,3.6970511436992823,3.6969250997677445,0.00012604393153781146,1.3741521450724889e-08,0.12001167262289414,1e-12
reaction limited,0.3,37,3.6970511440009854,3.696921644839238,0.00012949916174731513,1.3984035889781376e-08,0.12334113463836616,1e-12
reaction limited,0.3,38,3.6970511439628457,3.696918192351056,0.00013295161178961123,1.4226533898869133e-08,0.1266703711154662,1e-12
reaction limited,0.3,39,3.6970511439265468,3.6969147421923365,0.00013640173421025636,1.446901722651861e-08,0.12999940596648685,1e-12
reaction limited,0.3,40,3.6970511438744755,3.6969112951661396,0.00013984870833594343,1.4711482800930195e-08,0.13332819709887644,1e-12
reaction limited,0.3,41,3.6970511438256954,3.6969078497388033,0.00014329408689217615,1.495393172156694e-08,0.13665675956454493,1e-12
reaction limited,0.3,42,3.697051143780839,3.6969044078523208,0.00014673592851810469,1.5196365469008327e-08,0.1399851137279171,1e-12
reaction limited,0.3,43,3.6970511437288547,3.6969009670226054,0.00015017670624928314,1.5438782833467086e-08,0.14331324303961424,1e-12
reaction limited,0.3,44,3.6970511436952034,3.696897530220088,0.00015361347511522183,1.56811836760919e-08,0.14664114548520502,1e-12
reaction limited,0.3,45,3.6970511436314615,3.6968940934100414,0.0001570502214200964,1.5923567473021763e-08,0.14996881395801154,1e-12
reaction limited,0.3,46,3.697051143581917,3.6968906608645,0.00016048271741730957,1.616593535551963e-08,0.1532962638667641,1e-12
reaction limited,0.3,47,3.6970511435281947,3.696887230105071,0.0001639134231239403,1.6408285689987767e-08,0.15662347288305511,1e-12
reaction limited,0.3,48,3.6970511438435993,3.696883802165899,0.00016734167770016128,1.6650621496491455e-08,0.15995048243024712,1e-12
reaction limited,0.3,49,3.697051143799831,3.6968803759963293,0.00017076780350144816,1.6892941966270492e-08,0.16327728138136877,1e-12
reaction limited,0.3,50,3.697051143758463,3.6968769523702454,0.00017419138821761493,1.7135243135941723e-08,0.16660381544296854,1e-12
reaction limited,0.3,51,3.697051143715873,3.6968735315686505,0.00017761214722256113,1.7377531225154938e-08,0.169930169982365,1e-12
reaction limited,0.3,52,3.697051143671205,3.696870113490404,0.00018103018080095623,1.7619801573185833e-08,0.1732562808313105,1e-12
reaction limited,0.3,53,3.6970511436247233,3.696866697013112,0.0001844466116112109,1.78620567789154e-08,0.17658218383354551,1e-12
reaction limited,0.3,54,3.69705114359229,3.696863282738286,0.0001878608540040183,1.8104297034731468e-08,0.17990788157331394,1e-12
reaction limited,0.3,55,3.697051143541002,3.6968598719295658,0.0001912716114360613,1.8346517640885847e-08,0.18323330956066286,1e-12
reaction limited,0.3,56,3.6970511434791105,3.6968564623902167,0.00019468108889375557,1.8588724730474854e-08,0.18655855194687376,1e-12
reaction limited,0.3,57,3.6970511434527404,3.6968530556925803,0.0001980877601601705,1.8830914616624154e-08,0.18988355826078873,1e-12
reaction limited,0.3,58,3.6970511434073163,3.6968496514824305,0.00020149192488583267,1.9073088561253967e-08,0.19320834560667777,1e-12
reaction limited,0.3,59,3.6970511433473856,3.696846249006665,0.0002048943407206849,1.931524902147278e-08,0.1965329477766744,1e-12
reaction limited,0.3,60,3.6970511433013553,3.6968428496904817,0.0002082936108736,1.9557389160480876e-08,0.19985727109053641,1e-12
reaction limited,0.3,61,3.6970511436385394,3.6968394525277892,0.00021169111075014513,1.979951367831247e-08,0.20318137994773622,1e-12
reaction limited,0.3,62,3.697051143298144,3.6968360575765233,0.0002150857216207669,2.0041623835476722e-08,0.2065052915259571,1e-12
reaction limited,0.3,63,3.6970511446016263,3.6968326651026113,0.00021847949901498964,2.0283719514053252e-08,0.20982900434569274,1e-12
reaction limited,0.3,64,3.6970511445907013,3.6968292743751228,0.00022187021557851239,2.0525796516123488e-08,0.2131524608141433,1e-12
reaction limited,0.3,65,3.6970511445905867,3.6968258866452084,0.0002252579453783099,2.076785765472974e-08,0.21647569946144074,1e-12
