Initial SOC,Days,Voltage Before (V),Voltage After (V),Delta V (V)
0.9,36,3.903959354876777,3.901504500328559,0.0024548545482176998
0.9,37,3.903959354584691,3.9014475578307066,0.0025117967539842745
0.9,38,3.9039593542889515,3.9013911062304683,0.0025682480584832135
0.9,39,3.9039593540093795,3.901335165244464,0.002624188764915658
0.9,40,3.9039593537073127,3.9012797029696085,0.0026796507377042644
0.9,41,3.9039593534213877,3.9012247027168514,0.002734650704536268
0.9,42,3.903959354486063,3.9011701861687476,0.0027891683173155712
0.9,43,3.9039593542213793,3.901116130331082,0.0028432238902973417
0.9,44,3.9039593539547193,3.901062552537442,0.002896801417277217
0.9,45,3.9039593537091823,3.901009395026964,0.0029499586822181456
0.9,46,3.9039593534500243,3.9009566888894773,0.003002664560546986
0.9,47,3.9039593531892676,3.9009044353595863,0.0030549178296812585
0.9,48,3.9039593529501317,3.9008526144438807,0.0031067385062510944
0.9,49,3.903959352671662,3.9008012192910613,0.0031581333806007805
0.9,50,3.903959352425306,3.9007502331585275,0.0032091192667782487
0.9,51,3.903959353473791,3.9006996745421243,0.0032596789316667873
0.9,52,3.9039593532369317,3.9006495003496893,0.0033098528872423927
0.9,53,3.9039593530017918,3.90059976834029,0.0033595846615015468
0.9,54,3.903959352778898,3.900550430711082,0.003408922067816178
0.9,55,3.903959352548692,3.900501491714275,0.0034578608344171258
0.9,56,3.9039593523057308,3.9004529093073037,0.0035064429984270618
0.9,57,3.9039593520813676,3.900404726821618,0.0035546252597495887
0.9,58,3.903959351850765,3.9003569259420727,0.0036024259086921973
0.9,59,3.903959352233371,3.9003094910361735,0.003649861197197346
0.9,60,3.903959351706689,3.90026243219617,0.003696919510518981
0.9,61,3.9039593607519283,3.9002157414996557,0.003743619252272623
0.9,62,3.9039593606728835,3.9001694121215396,0.003789948551343958
0.9,63,3.903959360587346,3.9001234177024386,0.0038359428849075172
0.9,64,3.903959360514156,3.900077795430084,0.003881565084071781
0.9,65,3.9039593604370504,3.9000325087886614,0.003926851648389018
0.9,66,3.9039593603625606,3.89998756703981,0.00397179332275055
0.9,67,3.903959360279418,3.8999429852785155,0.00401637500090235
0.9,68,3.90395936020021,3.8998987056148433,0.004060654585366752
0.9,69,3.9039593601235403,3.899854778046276,0.004104582077264496
0.9,70,3.9039593600575273,3.8998111550122605,0.004148205045266806
0.9,71,3.9039593599730376,3.89976784946985,0.004191510503187779
0.9,72,3.903959359897267,3.899724868810063,0.004234491087204084
0.9,73,3.903959359809487,3.899682216309411,0.004277143500075908
0.9,74,3.903959359741564,3.8996398620660404,0.0043194976755236425
0.9,75,3.9039593596578603,3.899597795511558,0.004361564146302399
0.9,76,3.9039593595806292,3.8995560617286458,0.0044032978519834565
0.9,77,3.903959359493702,3.8995146338346087,0.004444725659093152
0.9,78,3.9039593594244533,3.8994734715172106,0.004485887907242692
0.9,79,3.9039593593449693,3.899432615525428,0.004526743819541323
0.9,80,3.9039593592653796,3.8993920280781316,0.004567331187248058
