Variant,Cycle,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Scale 0.1,31,2.3568445226514665e-08,1.3955372262850994e-10,2.0396132985574574e-08,3.989810344987784,3.70967491249832,5.193544877497478,0.2817349919119008,0.9635439511099726,3.991409904410221
Scale 0.1,32,2.370719442274092e-08,1.3874919622625472e-10,2.040907882163314e-08,3.989057756988709,3.7088697544695455,5.192417656257771,0.2817878064911604,0.9637653721072432,3.990657560960706
Scale 0.1,33,2.384515325563764e-08,1.3795883289671926e-10,2.042203561745265e-08,3.988307436867618,3.708067176905154,5.191294047668215,0.28184038822303925,0.9639889553132832,3.9899075651281932
Scale 0.1,34,2.3982335487623583e-08,1.3718223198594437e-10,2.043500338947494e-08,3.9875594050397467,3.707267101356661,5.190173941903275,0.28189283203591603,0.96421520579446,3.9891599333925774
Scale 0.1,35,2.4118754496224687e-08,1.3641900860110334e-10,2.0447982153983363e-08,3.986813710859385,3.7064694816644406,5.189057274329983,0.28194519675434737,0.9644445310119494,3.988414678418788
Scale 0.1,36,2.4254423288720275e-08,1.3566879249558819e-10,2.0460971927320597e-08,3.986070355405161,3.70567425719206,5.187943960065709,0.2819975634171098,0.9646773906897579,3.9876718206091697
Scale 0.1,37,2.4389354518657472e-08,1.349312299371971e-10,2.0473972725925642e-08,3.9853293635745977,3.704881386197919,5.186833940678284,0.28205003131647266,0.964914398497811,3.9869314175143913
Scale 0.1,38,2.4523560494551062e-08,1.3420597589359045e-10,2.0486984566366147e-08,3.9845907939456326,3.7040908241517387,5.185727153814497,0.2821025911204075,0.9651555820122582,3.986193415272146
Scale 0.1,39,2.4657053198198583e-08,1.334927036475209e-10,2.050000746500942e-08,3.983854592119067,3.7033025417584717,5.184623558461155,0.28215535737208713,0.9654017247344058,3.9854578991305587
Scale 0.1,40,2.47898442923817e-08,1.327910941831169e-10,2.0513041438583257e-08,3.983120840285088,3.7025165155440356,5.183523121751193,0.2822083103768069,0.9656528371733657,3.9847248259208423
Scale 0.1,41,2.4921945133770433e-08,1.3210084138873286e-10,2.0526086503861604e-08,3.982389510870901,3.701732708579509,5.182425792011748,0.2822615214980109,0.965909271315704,3.98399423007752
Scale 0.1,42,2.5053366780281636e-08,1.3142164651120287e-10,2.0539142677690635e-08,3.9816606197477262,3.700951078703157,5.1813315101825275,0.28231496105720866,0.9661708746927253,3.983266039760366
Scale 0.1,43,2.518412000812411e-08,1.3075322784247298e-10,2.0552209976623907e-08,3.9809341088842713,3.7001715919265825,5.180240228694707,0.2823687289462369,0.9664383141498973,3.982540320872819
Scale 0.1,44,2.531421531683087e-08,1.3009530870676162e-10,2.056528841786878e-08,3.980210038960557,3.6993942278031255,5.179151918923694,0.2824227821824563,0.9667114242824155,3.9818170099855816
Scale 0.1,45,2.5443662939950398e-08,1.2944762311952717e-10,2.057837801822204e-08,3.9794883495590643,3.6986189167019066,5.178066483383255,0.2824772005492735,0.9669904516101013,3.9810961172511803
Scale 0.1,46,2.5572472857319498e-08,1.288099173691001e-10,2.0591478794934312e-08,3.978769049249539,3.6978456352544873,5.176983889358979,0.28253200962841823,0.9672757536577024,3.9803776448829056
Scale 0.1,47,2.570065479887789e-08,1.2818194155839072e-10,2.060459076501265e-08,3.978052148225219,3.6970743471018825,5.175904085941497,0.28258721586888014,0.967567149589982,3.9796615629707626
Scale 0.1,48,2.5828218255376097e-08,1.2756345649820866e-10,2.0617713945906416e-08,3.977337615570641,3.696305010042445,5.174827014053349,0.2826428315579647,0.9678647607330788,3.9789478416004096
Scale 0.1,49,2.5955172485119342e-08,1.2695422974324467e-10,2.063084835457631e-08,3.976625406381465,3.6955375767321366,5.173752607426408,0.2826988691462389,0.9681686002923584,3.9782364458783754
Scale 0.1,50,2.608152652550896e-08,1.263540403896189e-10,2.0643994008177624e-08,3.9759155041302843,3.694772018288363,5.172680825603862,0.2827553864017114,0.9684790093836568,3.9775274046900746
Scale 0.1,51,2.6207289195759972e-08,1.2576267025101115e-10,2.065715092437072e-08,3.9752079340677002,3.694008296785312,5.1716116154993195,0.2828123491709184,0.9687957107519587,3.9768206459562303
