# OCP for graphite from Siegel 2022
# sto,ocp [V]
# extra point to avoid extrapolation
0.035325265,3.906669352
0.03539399,3.906623743
0.035462715,3.906578612
0.035531439,3.906533363
0.035600164,3.906487472
0.035668889,3.906442181
0.035737614,3.906396573
0.035806339,3.906350322
0.035875064,3.906304677
0.035943789,3.906259503
0.036012515,3.906213874
0.03608124,3.906168122
0.036149966,3.906123299
0.036218691,3.906077048
0.036287417,3.9060314
0.036356143,3.905986222
0.036424869,3.905940528
0.036493595,3.905895562
0.036562321,3.905850737
0.036631047,3.905805532
0.036699773,3.905759757
0.036768499,3.905714332
0.036837226,3.905669446
0.036905952,3.905624379
0.036974678,3.905579265
0.037043405,3.905534891
0.037112131,3.905490208
0.037180858,3.905445212
0.037249585,3.90539977
0.037318311,3.905354534
0.037387038,3.905309966
0.037455765,3.905264232
0.037524492,3.905218969
0.037593219,3.905173581
0.037661946,3.905128925
0.037730673,3.905083432
0.0377994,3.905038872
0.037868127,3.904993673
0.037936854,3.904948356
0.038005582,3.904903053
0.038074309,3.904858088
0.038143036,3.904812672
0.038211764,3.904767332
0.038280491,3.904721539
0.038349219,3.904676801
0.038417947,3.904631419
0.038486674,3.904586175
0.038555402,3.904540742
0.03862413,3.904495907
0.038692858,3.904451479
0.038761586,3.904406474
0.038830314,3.904361743
0.038899042,3.904317417
0.03896777,3.904271922
0.039036498,3.904227095
0.039105226,3.904181881
0.039173955,3.904136416
0.039242683,3.904090899
0.039311411,3.904045326
0.03938014,3.903999958
0.039448869,3.903954079
0.039517597,3.903908938
0.039586326,3.90386355
0.039655055,3.903818307
0.039723784,3.903773147
0.039792513,3.903727937
0.039861243,3.903682219
0.039929972,3.903636785
0.039998701,3.903591239
0.040067431,3.903545381
0.04013616,3.903499605
0.04020489,3.903454242
0.04027362,3.903409096
0.040342349,3.903363706
0.040411079,3.903317545
0.040479809,3.903272057
0.040548539,3.90322646
0.040617269,3.903180948
0.040686,3.903134991
0.04075473,3.9030882
0.04082346,3.90304195
0.040892191,3.902996634
0.040960921,3.902950748
0.041029652,3.902904948
0.041098383,3.902859033
0.041167114,3.90281287
0.041235845,3.902767252
0.041304576,3.902721457
0.041373307,3.902675814
0.041442038,3.902630523
0.04151077,3.90258427
0.041579501,3.902538037
0.041648233,3.902492934
0.041716964,3.902448046
0.041785696,3.902402125
0.041854428,3.90235694
0.04192316,3.902311578
0.041991892,3.902267613
0.042060624,3.902222226
0.042129356,3.902176725
0.042198088,3.902131636
0.042266821,3.90208696
0.042335553,3.902042235
0.042404286,3.901997269
0.042473019,3.901952258
0.042541751,3.901906806
0.042610484,3.901861509
0.042679217,3.901816106
0.042747951,3.901770197
0.042816684,3.901724966
0.042885417,3.901679623
0.04295415,3.901634427
0.043022884,3.90158938
0.043091618,3.901544422
0.043160351,3.901499883
0.043229085,3.901455368
0.043297819,3.901409175
0.043366553,3.901363333
0.043435287,3.90131783
0.043504022,3.901272474
0.043572756,3.901227339
0.043641491,3.901181509
0.043710225,3.901135764
0.04377896,3.90109135
0.043847694,3.901046103
0.043916429,3.901000945
0.043985164,3.900956272
0.044053899,3.900911096
0.044122634,3.900866334
0.044191369,3.900821133
0.044260104,3.900775557
0.04432884,3.900730656
0.044397575,3.900685772
0.04446631,3.900641562
