# OCP for graphite from Siegel 2022
# sto,ocp [V]
# extra point to avoid extrapolation
0.019967189,0.479664771
0.020075144,0.478570464
0.020183099,0.477480649
0.020291052,0.476395265
0.020399004,0.475314255
0.020506955,0.474237561
0.020614905,0.473165126
0.020722854,0.472096895
0.020830801,0.471032812
0.020938747,0.469972825
0.021046692,0.46891688
0.021154636,0.467864925
0.021262579,0.466816909
0.02137052,0.465772783
0.021478461,0.464732497
0.0215864,0.463696003
0.021694338,0.462663254
0.021802274,0.461634203
0.02191021,0.460608804
0.022018144,0.459587013
0.022126078,0.458568786
0.02223401,0.45755408
0.022341941,0.456542854
0.02244987,0.455535064
0.022557799,0.454530672
0.022665726,0.453529638
0.022773653,0.452531922
0.022881578,0.451537486
0.022989502,0.450546294
0.023097425,0.44955831
0.023205347,0.448573496
0.023313268,0.44759182
0.023421188,0.446613246
0.023529107,0.445637741
0.023637025,0.444665273
0.023744941,0.443695809
0.023852857,0.44272932
0.023960772,0.441765774
0.024068686,0.440805143
0.024176598,0.439847396
0.02428451,0.438892506
0.024392421,0.437940446
0.024500331,0.436991188
0.02460824,0.436044707
0.024716148,0.435100978
0.024824055,0.434159975
0.024931961,0.433221675
0.025039867,0.432286054
0.025147771,0.431353089
0.025255675,0.430422759
0.025363578,0.429495041
0.02547148,0.428569916
0.025579382,0.427647363
0.025687283,0.426727362
0.025795182,0.425809894
0.025903082,0.424894941
0.02601098,0.423982486
0.026118878,0.42307251
0.026226775,0.422164998
0.026334672,0.421259933
0.026442568,0.4203573
0.026550463,0.419457083
0.026658358,0.418559269
0.026766252,0.417663844
0.026874145,0.416770794
0.026982038,0.415880106
0.027089931,0.414991768
0.027197823,0.414105769
0.027305723,0.413222219
0.027412908,0.412356513
0.027520457,0.41147689
0.027628299,0.410601314
0.027736223,0.409729605
0.02784415,0.40886275
0.027952076,0.407998491
0.028060002,0.407136236
0.028167929,0.406276251
0.028275855,0.405418662
0.028383782,0.40456241
0.028491708,0.403708009
0.028599635,0.402854391
0.028707562,0.402003259
0.028815489,0.401153279
0.028923416,0.400304969
0.029031343,0.399458256
0.02913927,0.398612642
0.029247198,0.397769399
0.029355125,0.396927487
0.029463053,0.396087747
0.029570981,0.395250291
0.029678909,0.394414949
0.029786837,0.393581996
0.029894765,0.392751555
0.030002694,0.39192261
0.030110622,0.391096314
0.030218551,0.390272496
0.030326479,0.389451447
0.030434408,0.388632738
0.030542337,0.387817227
0.030650266,0.387005365
0.030758195,0.386195283
0.030866124,0.385388592
0.030974054,0.3845856
0.031081984,0.383786159
0.031189914,0.382989558
0.031297844,0.38219624
0.031405774,0.381405641
0.031513705,0.380618654
0.031621635,0.379834116
0.031729566,0.379053455
0.031837498,0.378276238
0.031945429,0.37750218
0.03205336,0.376731142
0.032161292,0.375963254
0.032269224,0.375198522
0.032377156,0.374436782
0.032485088,0.373677127
0.032593021,0.372920684
0.032700954,0.372167407
0.032808887,0.371417534
0.03291682,0.370670146
0.033024754,0.369925615
0.033132688,0.369183743
0.033240622,0.368444622
0.033348556,0.36770806
0.033456491,0.366973566
0.033564426,0.366241502
0.033672361,0.365511649
0.033780296,0.364784071
0.033888232,0.364058838
0.033996167,0.363335732
0.034104103,0.362615111
0.03421204,0.361896726
0.034319976,0.361180338
0.034427913,0.360466737
0.03453585,0.359755121
0.034643787,0.359044974
0.034751725,0.358336906
0.034859663,0.357630357
0.034967601,0.356926508
0.035075539,0.356224687
0.035183477,0.355524948
0.035291416,0.354826753
0.035399355,0.354130463
0.035507294,0.353436711
0.035615234,0.35274453
0.035723173,0.352054234
0.035831113,0.351366121
0.035939053,0.350679941
0.036046994,0.349995871
0.036154934,0.349313652
0.036262875,0.348633054
0.036370816,0.347954245
0.036478758,0.347276967
0.036586699,0.346601994
0.036694641,0.345928926
0.036802583,0.345257653
0.036910525,0.344588661
0.037018468,0.343920972
0.03712641,0.343255022
0.037234353,0.342590836
0.037342296,0.341928863
0.037450239,0.341267813
0.037558183,0.340608726
0.037666127,0.339951364
0.037774071,0.339295771
0.037882015,0.338642567
0.037989959,0.337991338
0.038097904,0.337341507
0.038205849,0.336693385
0.038313794,0.336046998
0.038421739,0.335402672
0.038529685,0.334760001
0.03863763,0.334118549
0.038745576,0.333479342
0.038853522,0.332841114
0.038961469,0.332205187
0.039069415,0.331570422
0.039177362,0.330937724
0.039285309,0.330307116
0.039393257,0.32967774
0.039501204,0.329050195
0.039609152,0.328423793
0.0397171,0.327799847
0.039825049,0.327177626
0.039932998,0.32655701
0.040040947,0.325938172
0.040148896,0.325321263
0.040256846,0.324705991
0.040364796,0.324092645
0.040472746,0.323480358
0.040580696,0.322869714
0.040688647,0.322260154
0.040796598,0.321652406
0.040904549,0.32104705
0.0410125,0.320443669
0.041120451,0.319841701
0.041228403,0.319241154
0.041336355,0.31864248
0.041444307,0.31804509
0.04155226,0.317449548
0.041660212,0.316855004
0.041768165,0.316262323
0.041876118,0.315671066
0.041984072,0.315081524
0.042092025,0.31449356
0.042199979,0.313907189
0.042307933,0.313322253
0.042415887,0.312739319
0.042523842,0.312157516
0.042631796,0.311577579
0.042739751,0.310999815
0.042847705,0.310423203
0.04295566,0.309847307
0.043063615,0.309273431
0.043171571,0.308700985
0.043279526,0.308129816
0.043387481,0.30755995
0.043495437,0.306991535
0.043603392,0.306423965
0.043711348,0.305858114
0.043819304,0.305294129
0.04392726,0.304730693
0.044035216,0.304168106
0.044143172,0.30360682
0.044251128,0.303046818
0.044359084,0.302488524
0.044467041,0.301931084
0.044574997,0.301374502
0.044682953,0.300819076
0.04479091,0.300265394
0.044898866,0.299712467
0.045006823,0.29916102
0.04511478,0.29861017
0.045222737,0.298061091
0.045330694,0.297512201
0.045438651,0.296964504
0.045546609,0.296417288
0.045654566,0.295871577
0.045762524,0.2953271
0.045870481,0.294783284
0.045978439,0.294240852
0.046086397,0.293699102
0.046194355,0.29315834
0.046302313,0.292618279
0.046410271,0.292079487
0.046518229,0.29154168
0.046626187,0.291004726
0.046734145,0.29046879
0.046842103,0.289933892
