Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,Temperature_T_type
13.292,3.907263241,0,21.94563548,22.89109045,14.23842016,-0.809049042,463,28.4,100,0,23.4375,0,0.965,22.44865615
13.392,3.907342976,0,21.97533318,22.90097839,14.20928987,-0.848897297,462,28.4,100,0,23.4375,0,0.965,22.44865615
13.492,3.907263241,0,21.9555348,22.89109045,14.24813025,-0.797094566,462,28.4,100,0,23.4375,0,0.965,22.46047164
13.592,3.907263241,0,21.97533318,22.90097839,14.22547336,-0.78514009,462,28.4,100,0,23.4375,0,0.965,22.44471759
13.692,3.907223373,0,21.99513121,22.89109045,14.21252657,-0.912654505,462,28.4,100,0,23.4375,0,0.965,22.46834846
13.792,3.907342976,0,21.92583658,22.89109045,14.23518346,-0.78514009,462,28.4,100,0,23.4375,0,0.965,22.45653317
13.892,3.907303108,0,21.91593701,22.88120243,14.21899997,-0.880775901,462,28.4,100,0,23.4375,0,0.965,22.45653317
13.992,3.907342976,0,21.9555348,22.88120243,14.25460365,-0.821003519,462,28.4,100,0,23.4375,0,0.965,22.45259468
14.092,3.907263241,0,21.98523224,22.89109045,14.18015959,-0.809049042,461,28.4,100,0,23.4375,0,0.963,22.45259468
14.192,3.907223373,0,21.9555348,22.85153784,14.18663299,-0.928593807,461,28.4,100,0,23.4375,0,0.963,22.46047164
14.292,3.907303108,0,21.97533318,22.90097839,14.22223667,-0.813033868,461,28.4,100,0,23.4375,0,0.963,22.46441007
14.392,3.907342976,0,21.96543403,22.89109045,14.18986969,-0.868821425,461,28.4,100,0,23.4375,0,0.963,22.46047164
14.492,3.907303108,0,21.97533318,22.88120243,14.22871006,-0.904684854,461,28.4,100,0,23.4375,0,0.963,22.46047164
14.592,3.907342976,0,21.97533318,22.86142612,14.24813025,-0.773185613,461,28.4,100,0,23.4375,0,0.963,22.46047164
14.692,3.907263241,0,22.0050301,22.88120243,14.21252657,-0.733337358,461,28.4,100,0,23.4375,0,0.963,22.45259468
14.792,3.907263241,0,21.97533318,22.88120243,14.23194676,-0.805064217,461,28.4,100,0,23.4375,0,0.963,22.46047164
14.892,3.907303108,0,21.94563548,22.89109045,14.24165685,-0.773185613,461,28.4,100,0,23.4375,0,0.963,22.45653317
14.992,3.907303108,0,21.96543403,22.87131432,14.19634308,-0.844912472,461,28.4,100,0,23.4375,0,0.963,22.44471759
15.092,3.907263241,0,21.98523224,22.88120243,14.22547336,-0.821003519,461,28.4,100,0,23.4375,0,0.963,22.44865615
15.192,3.907263241,0,21.9555348,22.90097839,14.19957978,-0.888745552,461,28.4,100,0,23.4375,0,0.961,22.46047164
15.292,3.907382844,0,21.96543403,22.90097839,14.21576327,-0.880775901,461,28.4,100,0,23.4375,0,0.961,22.46441007
15.392,3.907263241,0,21.97533318,22.90097839,14.20605318,-0.896715203,461,28.4,100,0,23.4375,0,0.961,22.44077899
15.492,3.907263241,0,21.99513121,22.89109045,14.20928987,-0.817018693,461,28.4,100,0,23.4375,0,0.961,22.45259468
15.592,3.907303108,0,21.99513121,22.89109045,14.21576327,-0.824988344,461,28.4,100,0,23.4375,0,0.961,22.44865615
15.692,3.907342976,0,21.98523224,22.89109045,14.1639761,-0.789124915,461,28.4,100,0,23.4375,0,0.961,22.44471759
15.792,3.907263241,0,21.96543403,22.88120243,14.20928987,-0.900700028,461,28.4,100,0,23.4375,0,0.961,22.45653317
15.892,3.907223373,0,21.97533318,22.90097839,14.19634308,-0.82897317,461,28.4,100,0,23.4375,0,0.961,22.45653317
15.992,3.907263241,0,21.97533318,22.89109045,14.20605318,-0.793109741,461,28.4,100,0,23.4375,0,0.961,22.45653317
16.092,3.907223373,0,21.97533318,22.88120243,14.18663299,-0.74927666,461,28.4,100,0,23.4375,0,0.961,22.45259468
16.192,3.907263241,0,21.97533318,22.89109045,14.18015959,-0.864836599,462,28.4,100,0,23.4375,0,0.961,22.44471759
16.292,3.907303108,0,21.97533318,22.90097839,14.1672128,-0.848897297,462,28.4,100,0,23.4375,0,0.958,22.47228683
16.392,3.907263241,0,21.9555348,22.920754,14.17692289,-0.860851774,462,28.4,100,0,23.4375,0,0.958,22.44865615
16.492,3.907342976,0,21.9555348,22.90097839,14.23518346,-0.836942821,462,28.4,100,0,23.4375,0,0.958,22.45653317
16.592,3.907342976,0,21.9555348,22.91086624,14.24165685,-0.832957995,462,28.4,100,0,23.4375,0,0.958,22.45259468
16.692,3.907342976,0,21.96543403,22.90097839,14.1736862,-0.868821425,462,28.4,100,0,23.4375,0,0.958,22.43684037
16.792,3.907303108,0,21.97533318,22.89109045,14.24813025,-0.832957995,462,28.4,100,0,23.4375,0,0.958,22.44077899
16.892,3.907342976,0,21.99513121,22.89109045,14.14779261,-0.840927646,462,28.4,100,0,23.4375,0,0.958,22.44471759
16.992,3.907303108,0,21.99513121,22.90097839,14.18339629,-0.793109741,462,28.4,100,0,23.4375,0,0.958,22.43684037
17.092,3.907342976,0,22.0050301,22.90097839,14.18986969,-0.821003519,462,28.4,100,0,23.4375,0,0.958,22.45259468
17.192,3.907303108,0,21.98523224,22.90097839,14.1736862,-0.932578632,462,28.4,100,0,23.4375,0,0.958,22.45259468
17.292,3.907263241,0,21.99513121,22.94052925,14.19310638,-0.860851774,462,28.4,100,0,23.4375,0,0.958,22.44865615
17.392,3.907382844,0,21.98523224,22.91086624,14.23194676,-0.856866948,462,28.4,100,0,23.4375,0,0.956,22.44865615
17.492,3.907342976,0,22.0149289,22.94052925,14.20281648,-0.860851774,462,28.4,100,0,23.4375,0,0.956,22.44865615
17.592,3.907342976,0,22.02482761,22.90097839,14.17692289,-0.78514009,463,28.4,100,0,23.4375,0,0.956,22.44865615
17.692,3.907342976,0,22.0050301,22.91086624,14.21576327,-0.777170439,463,28.4,100,0,23.4375,0,0.956,22.44865615
17.792,3.907342976,0,22.0050301,22.90097839,14.21252657,-0.781155264,463,28.4,100,0,23.4375,0,0.956,22.44077899
17.892,3.907263241,0,21.99513121,22.91086624,14.21899997,-0.860851774,463,28.4,100,0,23.4375,0,0.956,22.44077899
17.992,3.907223373,0,21.99513121,22.94052925,14.18015959,-0.888745552,463,28.4,100,0,23.4375,0,0.956,22.43684037
18.092,3.907263241,0,22.0050301,22.89109045,14.18663299,-0.82897317,463,28.4,100,0,23.4375,0,0.956,22.44865615
18.192,3.907223373,0,22.0050301,22.93064167,14.18339629,-0.880775901,463,28.4,100,0,23.4375,0,0.956,22.44077899
18.292,3.907303108,0,22.0149289,22.89109045,14.18339629,-0.777170439,464,28.4,100,0,23.4375,0,0.956,22.44077899
18.392,3.907263241,0,22.02482761,22.90097839,14.1639761,-0.87280625,464,28.4,100,0,23.4375,0,0.956,22.45259468
18.492,3.907223373,0,22.0149289,22.91086624,14.14131922,-0.821003519,464,28.4,100,0,23.4375,0,0.977,22.44471759
18.592,3.907263241,0,22.02482761,22.94052925,14.19634308,-0.904684854,464,28.4,100,0,23.4375,0,0.977,22.45259468
18.692,3.907303108,0,21.99513121,22.93064167,14.18339629,-0.832957995,464,28.4,100,0,23.4375,0,0.977,22.45259468
18.792,3.907342976,0,22.0050301,22.94052925,14.21252657,-0.876791076,464,28.4,100,0,23.4375,0,0.977,22.44077899
18.892,3.907303108,0,22.0050301,22.93064167,14.19310638,-0.745291835,464,28.4,100,0,23.4375,0,0.977,22.43684037
18.992,3.907303108,0,22.02482761,22.95041675,14.18663299,-0.769200788,465,28.4,100,0,23.4375,0,0.977,22.44471759
19.092,3.907263241,0,21.99513121,22.93064167,14.17692289,-0.725367707,465,28.4,100,0,23.4375,0,0.977,22.45259468
19.192,3.907303108,0,22.02482761,22.920754,14.15750271,-0.745291835,465,28.4,100,0,23.4375,0,0.977,22.43684037
19.292,3.907342976,0,22.06442161,22.93064167,14.1672128,-0.87280625,465,28.4,100,0,23.4375,0,0.977,22.44471759
19.392,3.907303108,0,22.02482761,22.90097839,14.1736862,-0.832957995,465,28.4,100,0,23.4375,0,0.977,22.45259468
19.492,3.907303108,0,22.03472624,22.94052925,14.19957978,-0.912654505,465,28.4,100,0,23.4375,0,0.977,22.45259468
19.592,3.907263241,0,22.04462479,22.93064167,14.19957978,-0.900700028,465,28.4,100,0,23.4375,0,0.979,22.44865615
19.692,3.907342976,0,22.05452324,22.93064167,14.1704495,-0.924608981,465,28.4,100,0,23.4375,0,0.979,22.42896301
19.792,3.907303108,0,22.06442161,22.90097839,14.17692289,-0.836942821,465,28.4,100,0,23.4375,0,0.979,22.44471759
19.892,3.907342976,0,22.06442161,22.95041675,14.23194676,-0.765215962,465,28.4,100,0,23.4375,0,0.979,22.44077899
19.992,3.907303108,0,22.02482761,22.91086624,14.23518346,-0.868821425,465,28.4,100,0,23.4375,0,0.979,22.44865615
20.092,3.907263241,0,22.04462479,22.95041675,14.18339629,-0.813033868,465,28.4,100,0,23.4375,0,0.979,22.43684037
20.192,3.907303108,0,22.03472624,22.94052925,14.22871006,-0.888745552,465,28.4,100,0,23.4375,0,0.979,22.44471759
20.292,3.907263241,0,22.05452324,22.920754,14.19310638,-0.852882123,465,28.4,100,0,23.4375,0,0.979,22.43290171
20.392,3.907342976,0,22.0743199,22.920754,14.20605318,-0.840927646,466,28.4,100,0,23.4375,0,0.979,22.44865615
20.492,3.907263241,0,22.04462479,22.91086624,14.18986969,-0.852882123,466,28.4,100,0,23.4375,0,0.979,22.44865615
20.592,3.907303108,0,22.04462479,22.920754,14.19310638,-0.860851774,466,28.4,100,0,23.4375,0,0.979,22.43684037
20.692,3.907263241,0,22.06442161,22.920754,14.20281648,-0.817018693,466,28.4,100,0,23.4375,0,0.98,22.42896301
20.792,3.907382844,0,22.05452324,22.920754,14.17692289,-0.844912472,466,28.4,100,0,23.4375,0,0.98,22.44077899
20.892,3.907422712,0,22.06442161,22.94052925,14.15750271,-0.824988344,466,28.4,100,0,23.4375,0,0.98,22.44865615
20.992,3.907303108,0,22.0842181,22.920754,14.20605318,-0.773185613,466,28.4,100,0,23.4375,0,0.98,22.44471759
21.092,3.907263241,0,22.04462479,22.94052925,14.18663299,-0.836942821,468,28.4,100,0,23.4375,0,0.98,22.44077899
21.192,3.907263241,0,22.03472624,22.93064167,14.19634308,-0.824988344,468,28.4,100,0,23.4375,0,0.98,22.43290171
21.292,3.907263241,0,22.0743199,22.91086624,14.22871006,-0.856866948,468,28.4,100,0,23.4375,0,0.98,22.42502429
21.392,3.907303108,0,22.05452324,22.90097839,14.20281648,-0.856866948,468,28.4,100,0,23.4375,0,0.98,22.41714674
21.492,3.907223373,0,22.06442161,22.93064167,14.15102931,-0.781155264,468,28.4,100,0,23.4375,0,0.98,22.43290171
21.592,3.907342976,0,22.04462479,22.93064167,14.1704495,-0.82897317,468,28.4,100,0,23.4375,0,0.98,22.45653317
21.692,3.907303108,0,22.06442161,22.920754,14.20281648,-0.892730377,468,28.4,100,0,23.4375,0,0.98,22.44471759
21.792,3.907303108,0,22.0842181,22.93064167,14.1639761,-0.801079391,468,28.4,100,0,23.4375,0,0.98,22.44077899
21.892,3.907303108,0,22.0743199,22.920754,14.14131922,-0.817018693,468,28.4,100,0,23.4375,0,0.98,22.43684037
21.992,3.907263241,0,22.0743199,22.91086624,14.18986969,-0.797094566,468,28.4,100,0,23.4375,0,0.98,22.45259468
22.092,3.907342976,0,22.0842181,22.90097839,14.22871006,-0.900700028,468,28.4,100,0,23.4375,0,0.98,22.42896301
22.192,3.907223373,0,22.05452324,22.93064167,14.1704495,-0.868821425,468,28.4,100,0,23.4375,0,0.98,22.44471759
22.292,3.907382844,0,22.05452324,22.91086624,14.21252657,-0.928593807,468,28.4,100,0,23.4375,0,0.98,22.44077899
22.392,3.907263241,0,22.0743199,22.97019149,14.18339629,-0.836942821,468,28.4,100,0,23.4375,0,0.98,22.44865615
22.492,3.907303108,0,22.0842181,22.920754,14.18339629,-0.797094566,469,28.4,100,0,23.4375,0,0.98,22.43290171
22.592,3.907303108,0,22.06442161,22.91086624,14.17692289,-0.924608981,469,28.4,100,0,23.4375,0,0.98,22.44865615
22.692,3.907223373,0,22.0842181,22.93064167,14.20281648,-0.824988344,469,28.4,100,0,23.4375,0,0.98,22.43290171
22.792,3.907263241,0,22.09411621,22.95041675,14.19957978,-0.824988344,469,28.4,100,0,23.4375,0,0.98,22.44471759
22.892,3.907303108,0,22.0743199,22.91086624,14.19957978,-0.801079391,469,28.4,100,0,23.4375,0,0.98,22.44077899
22.992,3.907303108,0,22.06442161,22.91086624,14.19957978,-0.900700028,469,28.4,100,0,23.4375,0,0.98,22.46441007
23.092,3.907263241,0,22.05452324,22.91086624,14.1736862,-0.824988344,469,28.4,100,0,23.4375,0,0.98,22.44471759
23.192,3.907342976,0,22.09411621,22.920754,14.1639761,-0.824988344,470,28.4,100,0,23.4375,0,0.98,22.45653317
23.292,3.907303108,0,22.06442161,22.91086624,14.15750271,-0.789124915,470,28.4,100,0,23.4375,0,0.98,22.44865615
23.392,3.907263241,0,22.06442161,22.93064167,14.20281648,-0.900700028,470,28.4,100,0,23.4375,0,0.98,22.43684037
23.492,3.907342976,0,22.06442161,22.93064167,14.20928987,-0.868821425,470,28.4,100,0,23.4375,0,0.98,22.45653317
23.592,3.907263241,0,22.04462479,22.93064167,14.1639761,-0.813033868,470,28.4,100,0,23.4375,0,0.98,22.44471759
23.692,3.907263241,0,22.04462479,22.920754,14.20605318,-0.82897317,470,28.4,100,0,23.4375,0,0.98,22.44077899
23.792,3.907303108,0,22.04462479,22.93064167,14.1639761,-0.844912472,470,28.4,100,0,23.4375,0,0.98,22.44471759
23.892,3.907303108,0,22.02482761,22.93064167,14.1672128,-0.856866948,470,28.4,100,0,23.4375,0,0.98,22.43684037
23.992,3.907382844,0,22.06442161,22.96030416,14.19634308,-0.864836599,470,28.4,100,0,23.4375,0,0.979,22.43290171
24.092,3.907263241,0,22.04462479,22.93064167,14.1736862,-0.809049042,470,28.4,100,0,23.4375,0,0.979,22.43290171
24.192,3.907263241,0,22.04462479,22.93064167,14.1736862,-0.852882123,470,28.4,100,0,23.4375,0,0.979,22.44471759
24.292,3.907342976,0,22.04462479,22.94052925,14.20281648,-0.848897297,470,28.4,100,0,23.4375,0,0.979,22.43290171
