Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,,Current Shunt
16.375,4.176211684,0,24.70407637,25.29126054,14.30962751,-0.964457236,482,14,100.2,0,22.8125,0,1.033,,0.964457236
16.475,4.17629142,0,24.7238314,25.29126054,14.31286421,-0.856866948,478,14,100.2,0,22.8125,0,1.033,,0.856866948
16.575,4.17629142,0,24.69419872,25.28139409,14.28697062,-0.813033868,478,14,100.2,0,22.8125,0,1.033,,0.813033868
16.675,4.176251552,0,24.70407637,25.28139409,14.27402383,-0.745291835,478,14,100.2,0,22.8125,0,1.033,,0.745291835
16.775,4.176211684,0,24.70407637,25.28139409,14.25136695,-0.860851774,478,14,100.2,0,22.8125,0,1.033,,0.860851774
16.875,4.176331288,0,24.7238314,25.27152755,14.29991742,-0.801079391,478,14,100.2,0,22.8125,0,1.033,,0.801079391
16.975,4.176251552,0,24.70407637,25.27152755,14.26755044,-0.781155264,478,14,100.2,0,22.8125,0,1.033,,0.781155264
17.075,4.176331288,0,24.68432098,25.29126054,14.325811,-0.757246311,478,14,100.2,0,22.8125,0,1.032,,0.757246311
17.182,4.17629142,0,24.70407637,25.27152755,14.27402383,-0.824988344,478,14,100.2,0,22.8125,0,1.032,,0.824988344
17.292,4.17629142,0,24.71395393,25.28139409,14.25784034,-0.856866948,478,14,100.2,0,22.8125,0,1.032,,0.856866948
17.395,4.17629142,0,24.70407637,25.28139409,14.28697062,-0.809049042,478,14,100.2,0,22.8125,0,1.032,,0.809049042
17.495,4.17629142,0,24.70407637,25.27152755,14.29344402,-0.860851774,478,14,100.2,0,22.8125,0,1.032,,0.860851774
17.602,4.17629142,0,24.71395393,25.3011269,14.30639081,-0.753261486,478,14,100.2,0,22.8125,0,1.032,,0.753261486
17.712,4.17629142,0,24.70407637,25.26166092,14.25136695,-0.757246311,478,14,100.2,0,22.8125,0,1.032,,0.757246311
17.812,4.17629142,0,24.71395393,25.26166092,14.24813025,-0.813033868,477,14,100.2,0,22.8125,0,1.032,,0.813033868
17.922,4.176251552,0,24.69419872,25.27152755,14.23518346,-0.876791076,477,14,100.2,0,22.8125,0,1.032,,0.876791076
18.032,4.17629142,0,24.71395393,25.28139409,14.30639081,-0.805064217,477,14,100.2,0,22.8125,0,1.032,,0.805064217
18.133,4.17629142,0,24.70407637,25.26166092,14.25136695,-0.836942821,477,14,100.2,0,22.8125,0,1.032,,0.836942821
18.233,4.176211684,0,24.70407637,25.27152755,14.26755044,-0.852882123,477,14,100.2,0,22.8125,0,1.032,,0.852882123
18.333,4.17629142,0,24.70407637,25.27152755,14.27078713,-0.852882123,477,14,100.2,0,22.8125,0,1.032,,0.852882123
18.433,4.176331288,0,24.73370878,25.27152755,14.26107704,-0.840927646,477,14,100.2,0,22.8125,0,1.032,,0.840927646
18.533,4.176251552,0,24.7238314,25.27152755,14.25460365,-0.765215962,476,14,100.2,0,22.8125,0,1.032,,0.765215962
18.634,4.17629142,0,24.68432098,25.3011269,14.29991742,-0.773185613,476,14,100.2,0,22.8125,0,1.032,,0.773185613
18.735,4.17629142,0,24.70407637,25.27152755,14.24489355,-0.892730377,476,14,100.2,0,22.8125,0,1.032,,0.892730377
18.835,4.176331288,0,24.71395393,25.3011269,14.26107704,-0.848897297,476,14,100.2,0,22.8125,0,1.032,,0.848897297
18.935,4.176331288,0,24.71395393,25.28139409,14.27078713,-0.864836599,476,14,100.2,0,22.8125,0,1.032,,0.864836599
19.035,4.17629142,0,24.70407637,25.28139409,14.27726053,-0.864836599,476,14,100.2,0,22.8125,0,1.032,,0.864836599
19.135,4.176331288,0,24.71395393,25.29126054,14.25784034,-0.860851774,476,14,100.2,0,22.8125,0,1.032,,0.860851774
19.235,4.176251552,0,24.71395393,25.3011269,14.26431374,-0.87280625,477,14,100.2,0,22.8125,0,1.032,,0.87280625
19.335,4.176251552,0,24.70407637,25.27152755,14.29344402,-0.717398057,477,14,100.2,0,22.8125,0,1.032,,0.717398057
19.435,4.176331288,0,24.73370878,25.27152755,14.26755044,-0.864836599,477,14,100.2,0,22.8125,0,1.032,,0.864836599
19.543,4.176251552,0,24.70407637,25.26166092,14.30962751,-0.824988344,477,14,100.2,0,22.8125,0,1.032,,0.824988344
19.649,4.176251552,0,24.71395393,25.27152755,14.28373393,-0.753261486,477,14,100.2,0,22.8125,0,1.032,,0.753261486
19.753,4.17629142,0,24.7238314,25.26166092,14.26431374,-0.797094566,477,14,100.2,0,22.8125,0,1.032,,0.797094566
19.853,4.176331288,0,24.7238314,25.28139409,14.26431374,-0.868821425,477,14,100.2,0,22.8125,0,1.032,,0.868821425
19.953,4.17629142,0,24.71395393,25.27152755,14.28049723,-0.793109741,477,14,100.2,0,22.8125,0,1.032,,0.793109741
20.053,4.17629142,0,24.71395393,25.28139409,14.29344402,-0.741307009,477,14,100.2,0,22.8125,0,1.032,,0.741307009
20.153,4.176371156,0,24.69419872,25.27152755,14.35170458,-0.78514009,477,14,100.2,0,22.8125,0,1.032,,0.78514009
20.253,4.17629142,0,24.70407637,25.28139409,14.45527892,-0.860851774,477,14,100.2,0,22.8125,0,1.032,,0.860851774
20.353,4.176331288,0,24.68432098,25.3011269,14.8016056,-0.813033868,477,14,100.2,0,22.8125,0,1.032,,0.813033868
20.453,4.176331288,0,24.68432098,25.31099317,15.03788455,-0.860851774,477,14,100.2,0,22.8125,0,1.032,,0.860851774
20.553,4.17629142,0,24.70407637,25.28139409,15.01199097,-0.813033868,477,14,100.2,0,22.8125,0,1.032,,0.813033868
20.653,4.176251552,0,24.70407637,25.28139409,15.06701483,-0.793109741,477,14,100.2,0,22.8125,0,1.032,,0.793109741
20.753,4.176331288,0,24.68432098,25.28139409,15.12851209,-0.884760726,477,14,100.2,0,22.8125,0,1.032,,0.884760726
20.853,4.17629142,0,24.7238314,25.27152755,15.14145888,-0.797094566,477,14,100.2,0,22.8125,0,1.032,,0.797094566
20.953,4.176251552,0,24.71395393,25.26166092,15.15764237,-0.876791076,477,14,100.2,0,22.8125,0,1.032,,0.876791076
