# OCP data for LG INR18650-MJ1 SiC anode
# sto,ocp
    0.293000,     0.115751
    0.294000,     0.115710
    0.295000,     0.115671
    0.296000,     0.115633
    0.297000,     0.115596
    0.298000,     0.115560
    0.299000,     0.115525
    0.300000,     0.115490
    0.301000,     0.115455
    0.302000,     0.115419
    0.303000,     0.115384
    0.304000,     0.115348
    0.305000,     0.115311
    0.306000,     0.115275
    0.307000,     0.115239
    0.308000,     0.115203
    0.309000,     0.115167
    0.310000,     0.115131
    0.311000,     0.115096
    0.312000,     0.115060
    0.313000,     0.115025
    0.314000,     0.114991
    0.315000,     0.114956
    0.316000,     0.114922
    0.317000,     0.114888
    0.318000,     0.114855
    0.319000,     0.114821
    0.320000,     0.114788
    0.321000,     0.114755
    0.322000,     0.114722
    0.323000,     0.114690
    0.324000,     0.114657
    0.325000,     0.114626
    0.326000,     0.114594
    0.327000,     0.114564
    0.328000,     0.114534
    0.329000,     0.114504
    0.330000,     0.114475
    0.331000,     0.114447
    0.332000,     0.114418
    0.333000,     0.114389
    0.334000,     0.114360
    0.335000,     0.114331
    0.336000,     0.114302
    0.337000,     0.114272
    0.338000,     0.114241
    0.339000,     0.114209
    0.340000,     0.114177
    0.341000,     0.114145
    0.342000,     0.114112
    0.343000,     0.114079
    0.344000,     0.114046
    0.345000,     0.114012
    0.346000,     0.113977
    0.347000,     0.113942
    0.348000,     0.113906
    0.349000,     0.113870
    0.350000,     0.113832
    0.351000,     0.113794
    0.352000,     0.113754
    0.353000,     0.113713
    0.354000,     0.113671
    0.355000,     0.113628
    0.356000,     0.113586
    0.357000,     0.113544
    0.358000,     0.113502
    0.359000,     0.113461
    0.360000,     0.113421
    0.361000,     0.113382
    0.362000,     0.113344
    0.363000,     0.113306
    0.364000,     0.113267
    0.365000,     0.113228
    0.366000,     0.113189
    0.367000,     0.113148
    0.368000,     0.113107
    0.369000,     0.113063
    0.370000,     0.113018
    0.371000,     0.112972
    0.372000,     0.112924
    0.373000,     0.112875
    0.374000,     0.112826
    0.375000,     0.112777
    0.376000,     0.112728
    0.377000,     0.112680
    0.378000,     0.112632
    0.379000,     0.112584
    0.380000,     0.112535
    0.381000,     0.112487
    0.382000,     0.112439
    0.383000,     0.112389
    0.384000,     0.112339
    0.385000,     0.112288
    0.386000,     0.112237
    0.387000,     0.112184
    0.388000,     0.112131
    0.389000,     0.112078
    0.390000,     0.112024
    0.391000,     0.111970
    0.392000,     0.111916
    0.393000,     0.111862
    0.394000,     0.111807
    0.395000,     0.111752
    0.396000,     0.111696
    0.397000,     0.111641
    0.398000,     0.111585
    0.399000,     0.111530
    0.400000,     0.111476
    0.401000,     0.111422
    0.402000,     0.111368
    0.403000,     0.111313
    0.404000,     0.111255
    0.405000,     0.111196
    0.406000,     0.111132
    0.407000,     0.111065
    0.408000,     0.110995
    0.409000,     0.110922
    0.410000,     0.110848
    0.411000,     0.110772
    0.412000,     0.110694
    0.413000,     0.110613
    0.414000,     0.110530
    0.415000,     0.110445
    0.416000,     0.110358
    0.417000,     0.110269
    0.418000,     0.110177
    0.419000,     0.110083
    0.420000,     0.109986
    0.421000,     0.109885
    0.422000,     0.109782
    0.423000,     0.109678
    0.424000,     0.109577
    0.425000,     0.109479
    0.426000,     0.109378
    0.427000,     0.109273
    0.428000,     0.109159
    0.429000,     0.109038
    0.430000,     0.108917
    0.431000,     0.108799
    0.432000,     0.108683
    0.433000,     0.108565
    0.434000,     0.108444
    0.435000,     0.108323
    0.436000,     0.108197
    0.437000,     0.108064
    0.438000,     0.107923
    0.439000,     0.107773
    0.440000,     0.107608
    0.441000,     0.107429
    0.442000,     0.107252
    0.443000,     0.107074
    0.444000,     0.106878
    0.445000,     0.106662
    0.446000,     0.106461
    0.447000,     0.106264
    0.448000,     0.106031
    0.449000,     0.105786
    0.450000,     0.105558
    0.451000,     0.105325
    0.452000,     0.105079
    0.453000,     0.104798
    0.454000,     0.104493
    0.455000,     0.104171
    0.456000,     0.103827
    0.457000,     0.103449
    0.458000,     0.103069
    0.459000,     0.102631
    0.460000,     0.102237
    0.461000,     0.101824
    0.462000,     0.101310
    0.463000,     0.100739
    0.464000,     0.100151
    0.465000,     0.099506
    0.466000,     0.098896
    0.467000,     0.098152
    0.468000,     0.097291
    0.469000,     0.096414
    0.470000,     0.095547
    0.471000,     0.094463
    0.472000,     0.093346
    0.473000,     0.092231
    0.474000,     0.090957
    0.475000,     0.089720
    0.476000,     0.088350
    0.477000,     0.087057
    0.478000,     0.085849
    0.479000,     0.084603
    0.480000,     0.083617
    0.481000,     0.082690
    0.482000,     0.081916
    0.483000,     0.081258
    0.484000,     0.080827
    0.485000,     0.080494
    0.486000,     0.080237
    0.487000,     0.080021
    0.488000,     0.079866
    0.489000,     0.079760
    0.490000,     0.079675
    0.491000,     0.079594
    0.492000,     0.079501
    0.493000,     0.079389
    0.494000,     0.079273
    0.495000,     0.079168
    0.496000,     0.079082
    0.497000,     0.078995
    0.498000,     0.078911
    0.499000,     0.078838
    0.500000,     0.078784
    0.501000,     0.078758
    0.502000,     0.078758
    0.503000,     0.078766
    0.504000,     0.078781
    0.505000,     0.078801
    0.506000,     0.078825
    0.507000,     0.078853
    0.508000,     0.078883
    0.509000,     0.078916
    0.510000,     0.078948
    0.511000,     0.078981
    0.512000,     0.079013
    0.513000,     0.079043
    0.514000,     0.079071
    0.515000,     0.079095
    0.516000,     0.079114
    0.517000,     0.079128
    0.518000,     0.079136
    0.519000,     0.079137
    0.520000,     0.079137
    0.521000,     0.079136
    0.522000,     0.079136
    0.523000,     0.079135
    0.524000,     0.079134
    0.525000,     0.079132
    0.526000,     0.079131
    0.527000,     0.079129
    0.528000,     0.079127
    0.529000,     0.079125
    0.530000,     0.079123
    0.531000,     0.079120
