# d OCP / d Temp data for LG INR18650-MJ1 NMC811 cathode
# sto, dU/dT
       0.882700,   -0.021681
       0.883700,   -0.022077
       0.884700,   -0.022482
       0.885700,   -0.022896
       0.886700,   -0.023316
       0.887700,   -0.023743
       0.888700,   -0.024175
       0.889700,   -0.024611
       0.890700,   -0.025050
       0.891700,   -0.025490
       0.892700,   -0.025932
       0.893700,   -0.026373
       0.894700,   -0.026812
       0.895700,   -0.027249
       0.896700,   -0.027682
       0.897700,   -0.028111
       0.898700,   -0.028533
       0.899700,   -0.028949
       0.900700,   -0.029357
       0.901700,   -0.029755
       0.902700,   -0.030144
       0.903700,   -0.030524
       0.904700,   -0.030897
       0.905700,   -0.031265
       0.906700,   -0.031629
       0.907700,   -0.031991
       0.908700,   -0.032352
       0.909700,   -0.032713
       0.910700,   -0.033077
       0.911700,   -0.033445
       0.912700,   -0.033818
       0.913700,   -0.034198
       0.914700,   -0.034587
       0.915700,   -0.034985
       0.916700,   -0.035395
       0.917700,   -0.035818
       0.918700,   -0.036256
       0.919700,   -0.036710
       0.920700,   -0.037181
       0.921700,   -0.037669
       0.922700,   -0.038173
       0.923700,   -0.038692
       0.924700,   -0.039225
       0.925700,   -0.039771
       0.926700,   -0.040329
       0.927700,   -0.040898
       0.928700,   -0.041476
       0.929700,   -0.042064
       0.930700,   -0.042659
       0.931700,   -0.043262
       0.932700,   -0.043870
       0.933700,   -0.044483
       0.934700,   -0.045101
       0.935700,   -0.045721
       0.936700,   -0.046342
       0.937700,   -0.046965
       0.938700,   -0.047588
       0.939700,   -0.048210
       0.940700,   -0.048832
       0.941700,   -0.049454
       0.942700,   -0.050075
       0.943700,   -0.050696
       0.944700,   -0.051316
       0.945700,   -0.051936
       0.946700,   -0.052555
       0.947700,   -0.053175
       0.948700,   -0.053793
       0.949700,   -0.054412
       0.950700,   -0.055030
       0.951700,   -0.055647
       0.952700,   -0.056264
       0.953700,   -0.056881
       0.954700,   -0.057497
       0.955700,   -0.058113
       0.956700,   -0.058729
       0.957700,   -0.059344
       0.958700,   -0.059959
       0.959700,   -0.060574
       0.960700,   -0.061189
       0.961700,   -0.061803
       0.962700,   -0.062418
       0.963700,   -0.063033
       0.964700,   -0.063648
       0.965700,   -0.064263
       0.966700,   -0.064879
       0.967700,   -0.065496
       0.968700,   -0.066113
       0.969700,   -0.066730
       0.970700,   -0.067349
       0.971700,   -0.067968
       0.972700,   -0.068588
       0.973700,   -0.069209
       0.974700,   -0.069831
       0.975700,   -0.070454
       0.976700,   -0.071079
       0.977700,   -0.071705
       0.978700,   -0.072332
       0.979700,   -0.072961
       0.980700,   -0.073591
       0.981700,   -0.074223
       0.982700,   -0.074857
#
       0.992700,   -0.074857
       0.999990,   -0.074857
